[INFO] [launch]: All log files can be found below /home/linuxbrew/.ros/log/2024-06-05-10-34-50-759742-SpotCORE-23854
[INFO] [launch]: Default logging verbosity is set to INFO
[INFO] [python3-1]: process started with pid [23856]
[python3-1] /home/linuxbrew/ros2_ws/src/isabel_interface/scripts/vel2.py:228: DeprecationWarning: The binary mode of fromstring is deprecated, as it behaves surprisingly on unicode inputs. Use frombuffer instead
[python3-1]   data = np.fromstring(_point_cloud_task.proto[0].point_cloud.data, dtype=np.float32)
[python3-1] Connected.
[python3-1] ROBOT:  0.015785425901412964 0.012877424247562885 -0.0012493799440562725 -0.0030986228957772255 -0.0011934087378904223 0.9999936819076538
[python3-1] ROBOT:  0.014730964787304401 0.012825790792703629 -0.0012791912304237485 -0.003123672679066658 -0.0011948745232075453 0.9999935626983643
[python3-1] ROBOT:  0.014185236766934395 0.012887361459434032 -0.001257486641407013 -0.00313824275508523 -0.0011820694198831916 0.9999935626983643
[python3-1] ROBOT:  0.013709732331335545 0.01307341642677784 -0.001172495074570179 -0.0031383370514959097 -0.0012120525352656841 0.999993622303009
[python3-1] ROBOT:  0.013202022761106491 0.01354469358921051 -0.0009771190816536546 -0.003176221391186118 -0.0011293105781078339 0.9999938607215881
[python3-1] ROBOT:  0.012413318268954754 0.016289008781313896 0.00021036816178821027 -0.0032375508453696966 -0.0010409161914139986 0.9999942183494568
[python3-1] ROBOT:  0.010771498084068298 0.0171239972114563 0.0005970355705358088 -0.0031713235657662153 -0.0011472910409793258 0.9999940991401672
[python3-1] ROBOT:  0.010269880294799805 0.017263267189264297 0.0005882836412638426 -0.003187347436323762 -0.0011468323646113276 0.9999940991401672
[python3-1] ROBOT:  0.009832467883825302 0.017313139513134956 0.0005802838131785393 -0.003175772726535797 -0.0011792897712439299 0.9999940991401672
[python3-1] ROBOT:  0.009231267496943474 0.017358984798192978 0.0006492385873571038 -0.003163039218634367 -0.001183370710350573 0.9999940991401672
[python3-1] ROBOT:  0.008994155563414097 0.017409102991223335 0.000657764496281743 -0.0031566007528454065 -0.001150147756561637 0.9999940991401672
[python3-1] ROBOT:  0.008770710788667202 0.017455345019698143 0.0006504444754682481 -0.0031589774880558252 -0.0011535073863342404 0.9999940991401672
[python3-1] ROBOT:  0.008543722331523895 0.017477303743362427 0.0006325366557575762 -0.0031684234272688627 -0.0011662538163363934 0.9999940991401672
[python3-1] ROBOT:  0.008291857317090034 0.017503343522548676 0.0006275476771406829 -0.0031738057732582092 -0.0011799753410741687 0.9999940395355225
[python3-1] ROBOT:  0.008043840527534485 0.017487095668911934 0.0006251065642572939 -0.003182151587679982 -0.001171633368358016 0.9999940395355225
[python3-1] ROBOT:  0.0077809118665754795 0.017511537298560143 0.0006520390161313117 -0.003190017072483897 -0.001136763021349907 0.9999940395355225
[python3-1] ROBOT:  0.007536417338997126 0.017535096034407616 0.0006751282489858568 -0.0031845446210354567 -0.0011293317656964064 0.9999940395355225
